Time,header,latitude,longitude,altitude,utm_easting,HDOP,UTC,utm_northing,zone,letter
1675728461.9690912,$GPGGA,42.33896,-71.08389166666666,15.5,328332.3996078671,1.6,743.0,4689514.777396849,19,T
1675728462.967039,$GPGGA,42.33896,-71.08389166666666,15.5,328332.3996078671,1.6,744.0,4689514.777396849,19,T
1675728463.9663198,$GPGGA,42.33896,-71.08389166666666,15.5,328332.3996078671,1.6,745.0,4689514.777396849,19,T
1675728464.966543,$GPGGA,42.33896,-71.08389000000001,15.5,328332.5369108656,1.6,746.0,4689514.774031946,19,T
1675728465.9671028,$GPGGA,42.33896,-71.08389000000001,15.5,328332.5369108656,1.6,747.0,4689514.774031946,19,T
1675728466.967343,$GPGGA,42.338956666666675,-71.08388833333333,15.7,328332.66514277423,1.6,748.0,4689514.400525797,19,T
1675728467.966886,$GPGGA,42.338956666666675,-71.08388833333333,15.7,328332.66514277423,1.6,749.0,4689514.400525797,19,T
1675728468.9682207,$GPGGA,42.338956666666675,-71.08388833333333,15.7,328332.66514277423,1.6,750.0,4689514.400525797,19,T
1675728469.9677444,$GPGGA,42.33895333333333,-71.08388666666666,15.9,328332.7933747001,1.6,751.0,4689514.027019648,19,T
1675728470.9670272,$GPGGA,42.338950000000004,-71.08388666666666,15.9,328332.7843036189,1.6,752.0,4689513.656878401,19,T
1675728471.9662893,$GPGGA,42.338943333333326,-71.083885,15.9,328332.90346449486,1.6,753.0,4689512.913231008,19,T
1675728472.9664266,$GPGGA,42.33894,-71.08388666666666,15.8,328332.75709037855,1.6,754.0,4689512.546454653,19,T
1675728473.96774,$GPGGA,42.338935000000006,-71.08388833333333,15.8,328332.60618070536,1.6,755.0,4689511.994607679,19,T
1675728474.969509,$GPGGA,42.33892666666667,-71.08388833333333,15.7,328332.58350299316,1.6,756.0,4689511.06925456,19,T
1675728475.968586,$GPGGA,42.33891666666667,-71.08388833333333,15.5,328332.5562897433,1.6,757.0,4689509.958830817,19,T
1675728476.967319,$GPGGA,42.33890666666666,-71.08388333333333,15.2,328332.94098584657,1.6,758.0,4689508.838312392,19,T
1675728477.9686103,$GPGGA,42.338898333333326,-71.08388166666667,15.0,328333.0556113339,1.6,759.0,4689507.909594388,19,T
1675728478.9679813,$GPGGA,42.33888833333334,-71.08388166666667,14.8,328333.0283981862,1.6,800.0,4689506.799170652,19,T
1675728479.9704762,$GPGGA,42.33888,-71.083885,14.5,328332.73111422174,1.6,801.0,4689505.880547319,19,T
1675728480.9676259,$GPGGA,42.338876666666664,-71.083895,14.0,328331.8982240744,1.6,802.0,4689505.530595478,19,T
1675728481.967963,$GPGGA,42.33887,-71.08390666666666,13.7,328330.9189594982,1.6,803.0,4689504.813867414,19,T
1675728482.9689763,$GPGGA,42.33886333333333,-71.08392,13.3,328329.80239151116,1.6,804.0,4689504.10050443,19,T
1675728483.967715,$GPGGA,42.338856666666665,-71.08393166666666,12.9,328328.823126517,1.6,805.0,4689503.383776648,19,T
1675728484.9678361,$GPGGA,42.33885,-71.08394333333334,12.6,328327.8438613212,1.6,806.0,4689502.667049,19,T
1675728485.9694405,$GPGGA,42.33884333333334,-71.08395333333333,12.5,328327.00189917895,1.6,807.0,4689501.94695648,19,T
1675728486.967497,$GPGGA,42.338835,-71.08396333333333,12.4,328326.15540116676,1.6,808.0,4689501.041793431,19,T
1675728487.9683986,$GPGGA,42.33882333333333,-71.08397166666667,12.5,328325.43713479774,1.6,809.0,4689499.763124203,19,T
1675728488.9695418,$GPGGA,42.338815000000004,-71.08398166666666,12.6,328324.5906363322,1.6,810.0,4689498.857961336,19,T
1675728489.9693234,$GPGGA,42.338805,-71.08399166666666,12.5,328323.73960189533,1.6,811.0,4689497.767727943,19,T
1675728490.9683044,$GPGGA,42.338795,-71.084,12.4,328323.0258705586,1.6,812.0,4689496.674129568,19,T
1675728491.967937,$GPGGA,42.33878833333333,-71.08401,12.5,328322.1839072199,1.6,813.0,4689495.9540375965,19,T
1675728492.9687872,$GPGGA,42.33878166666667,-71.08402333333333,12.5,328321.0673369287,1.6,814.0,4689495.240675946,19,T
1675728493.9696555,$GPGGA,42.33877833333333,-71.084035,12.5,328320.09714150813,1.6,815.0,4689494.894090573,19,T
1675728494.9692442,$GPGGA,42.33877166666666,-71.08404666666667,12.4,328319.1178742408,1.6,816.0,4689494.177364091,19,T
1675728495.9689765,$GPGGA,42.338766666666665,-71.08405833333333,12.3,328318.14314266806,1.6,817.0,4689493.645708363,19,T
1675728496.969937,$GPGGA,42.33876,-71.08407000000001,12.4,328317.163875018,1.6,818.0,4689492.928982145,19,T
1675728497.9702985,$GPGGA,42.33875333333334,-71.08408166666666,12.5,328316.1846071725,1.6,819.0,4689492.212256058,19,T
1675728498.970003,$GPGGA,42.33874833333333,-71.08409166666667,12.4,328315.3471785554,1.6,820.0,4689491.677235497,19,T
1675728499.9731872,$GPGGA,42.33874333333333,-71.08410333333333,12.4,328314.3724463362,1.6,821.0,4689491.145580276,19,T
1675728500.9697487,$GPGGA,42.33873666666667,-71.08411500000001,12.3,328313.3931779437,1.6,822.0,4689490.428854565,19,T
1675728501.9701815,$GPGGA,42.33872833333333,-71.08412666666666,12.2,328312.4093733117,1.6,823.0,4689489.527058364,19,T
1675728502.9691477,$GPGGA,42.338721666666665,-71.08413999999999,12.2,328311.2928009713,1.6,824.0,4689488.81369822,19,T
1675728503.9694855,$GPGGA,42.33871666666667,-71.08415166666667,12.3,328310.3180680338,1.6,825.0,4689488.282043545,19,T
1675728504.971776,$GPGGA,42.338710000000006,-71.08416333333334,12.2,328309.338798822,1.6,826.0,4689487.56531838,19,T
1675728505.9696906,$GPGGA,42.33870333333333,-71.084175,12.3,328308.3595294086,1.6,827.0,4689486.848593345,19,T
1675728506.9697006,$GPGGA,42.33869833333333,-71.08418499999999,12.4,328307.5220995386,1.6,828.0,4689486.313573687,19,T
1675728507.969223,$GPGGA,42.33869500000001,-71.08419833333333,12.7,328306.41459856974,1.6,829.0,4689485.970355536,19,T
1675728508.9700177,$GPGGA,42.33869,-71.08421,12.9,328305.4398648479,1.6,830.0,4689485.438701518,19,T
1675728509.9721336,$GPGGA,42.338686666666675,-71.08422166666666,13.0,328304.4696672214,1.6,831.0,4689485.092118254,19,T
1675728510.9708655,$GPGGA,42.338678333333334,-71.084235,13.0,328303.34855706163,1.6,832.0,4689484.193688712,19,T
1675728511.970219,$GPGGA,42.338673333333325,-71.08424666666666,13.2,328302.3738228482,1.6,833.0,4689483.662035108,19,T
1675728512.969347,$GPGGA,42.33866666666666,-71.08425833333334,13.2,328301.3945521574,1.6,834.0,4689482.945311015,19,T
1675728513.9694378,$GPGGA,42.33865833333333,-71.08427166666667,13.2,328300.273441256,1.6,835.0,4689482.046881948,19,T
1675728514.96934,$GPGGA,42.33865000000001,-71.084285,13.3,328299.1523300669,1.6,836.0,4689481.148453052,19,T
1675728515.970574,$GPGGA,42.338645,-71.08429833333334,13.4,328298.040291409,1.6,837.0,4689480.620165569,19,T
1675728516.9713128,$GPGGA,42.33863833333333,-71.08431,13.2,328297.06101984275,1.6,838.0,4689479.903442061,19,T
1675728517.971557,$GPGGA,42.338625,-71.08432166666667,13.0,328296.0636022347,1.6,839.0,4689478.4464362,19,T
1675728518.9706702,$GPGGA,42.33861333333333,-71.08433,12.9,328295.3453282316,1.6,840.0,4689477.167769872,19,T
1675728519.971268,$GPGGA,42.3386,-71.084335,12.7,328294.8971250599,1.6,841.0,4689475.697301752,19,T
1675728520.9716926,$GPGGA,42.338588333333334,-71.08433833333333,12.6,328294.59076202934,1.6,842.0,4689474.408538654,19,T
1675728521.9719896,$GPGGA,42.33857833333333,-71.08434166666666,12.8,328294.28893540753,1.6,843.0,4689473.304846189,19,T
1675728522.9709725,$GPGGA,42.33856666666667,-71.084345,12.7,328293.9825721962,1.6,844.0,4689472.016083118,19,T
1675728523.9706342,$GPGGA,42.33855666666667,-71.08435,12.8,328293.543441519,1.6,845.0,4689470.915756316,19,T
1675728524.9721007,$GPGGA,42.33854833333333,-71.08435833333333,12.9,328292.8342394456,1.6,846.0,4689470.007231457,19,T
1675728525.9725842,$GPGGA,42.338538333333325,-71.08436833333333,12.9,328291.98319672066,1.6,847.0,4689468.917001719,19,T
1675728526.9719326,$GPGGA,42.338525,-71.08437833333333,12.9,328291.1230805856,1.6,848.0,4689467.456630844,19,T
1675728527.9714358,$GPGGA,42.33850833333333,-71.08438500000001,12.8,328290.5284988982,1.6,849.0,4689465.619387431,19,T
1675728528.971581,$GPGGA,42.338496666666664,-71.084395,12.8,328289.67291871307,1.6,850.0,4689464.344087336,19,T
1675728529.9719148,$GPGGA,42.33848666666666,-71.08440666666667,12.8,328288.68457082484,1.6,851.0,4689463.257223688,19,T
1675728530.9719245,$GPGGA,42.33847833333333,-71.08441833333333,12.8,328287.70075929153,1.6,852.0,4689462.3554307865,19,T
1675728531.9714062,$GPGGA,42.33847000000001,-71.08443000000001,12.7,328286.716947505,1.6,853.0,4689461.45363802,19,T
1675728532.975393,$GPGGA,42.338460000000005,-71.08444166666666,12.6,328285.7285987666,1.6,854.0,4689460.366774767,19,T
1675728533.9755325,$GPGGA,42.338451666666664,-71.08445166666667,12.7,328284.8820905655,1.6,855.0,4689459.461616456,19,T
1675728534.9719403,$GPGGA,42.33844666666667,-71.084465,12.6,328283.77004740475,1.6,856.0,4689458.933331123,19,T
1675728535.9723704,$GPGGA,42.338440000000006,-71.08447500000001,12.6,328282.9280755554,1.6,857.0,4689458.213243656,19,T
1675728536.9754965,$GPGGA,42.33843166666667,-71.08448666666666,12.5,328281.94426258677,1.6,858.0,4689457.311451528,19,T
1675728537.9730315,$GPGGA,42.33842500000001,-71.08449666666667,12.4,328281.10229035874,1.6,859.0,4689456.59136427,19,T
1675728538.973386,$GPGGA,42.338416666666674,-71.08450833333333,12.3,328280.1184769264,1.6,900.0,4689455.689572387,19,T
1675728539.972785,$GPGGA,42.33841,-71.08452000000001,12.3,328279.1392001137,1.6,901.0,4689454.972851254,19,T
1675728540.9744413,$GPGGA,42.33840166666667,-71.08453,12.3,328278.2926904259,1.6,902.0,4689454.067693702,19,T
1675728541.9734967,$GPGGA,42.338393333333336,-71.08454166666667,12.2,328277.308876285,1.6,903.0,4689453.165902196,19,T
1675728542.9734309,$GPGGA,42.33838666666667,-71.08455166666666,12.1,328276.46690308943,1.6,904.0,4689452.445815471,19,T
1675728543.9724777,$GPGGA,42.33838166666666,-71.08456333333334,12.0,328275.4921624144,1.6,905.0,4689451.914165442,19,T
1675728544.9735415,$GPGGA,42.338375,-71.08457333333334,11.9,328274.65018888057,1.6,906.0,4689451.194078927,19,T
1675728545.975695,$GPGGA,42.33836833333333,-71.084585,11.9,328273.6709108789,1.6,907.0,4689450.477358527,19,T
1675728546.9732838,$GPGGA,42.338363333333334,-71.08459500000001,11.8,328272.8334740178,1.6,908.0,4689449.942342837,19,T
1675728547.9730117,$GPGGA,42.33835666666667,-71.08460666666666,11.7,328271.85419565235,1.6,909.0,4689449.225622683,19,T
1675728548.9741206,$GPGGA,42.33835166666666,-71.08461666666668,11.6,328271.0167584969,1.6,910.0,4689448.690607202,19,T
1675728549.973955,$GPGGA,42.338346666666666,-71.08462666666667,11.5,328270.17932121374,1.6,911.0,4689448.1555918185,19,T
1675728550.9769657,$GPGGA,42.33834,-71.08463833333333,11.5,328269.20004232216,1.6,912.0,4689447.438872021,19,T
1675728551.9741158,$GPGGA,42.33833500000001,-71.08464833333333,11.4,328268.3626047448,1.6,913.0,4689446.903856848,19,T
1675728552.976759,$GPGGA,42.33833,-71.08465833333334,11.3,328267.5251670396,1.6,914.0,4689446.368841772,19,T
1675728553.9731748,$GPGGA,42.33832333333333,-71.08466833333334,11.3,328266.68319201586,1.6,915.0,4689445.648756176,19,T
1675728554.9734297,$GPGGA,42.33831833333333,-71.08467833333334,11.2,328265.8457540275,1.6,916.0,4689445.113741293,19,T
1675728555.9760513,$GPGGA,42.338313333333325,-71.08468666666666,11.2,328265.14562032506,1.6,917.0,4689444.575360323,19,T
1675728556.9733834,$GPGGA,42.33830833333333,-71.08469666666666,11.1,328264.30818208994,1.6,918.0,4689444.0403456185,19,T
1675728557.9743397,$GPGGA,42.338303333333336,-71.084705,11.3,328263.6080481606,1.6,919.0,4689443.501964796,19,T
1675728558.9731266,$GPGGA,42.33829833333333,-71.08471333333334,11.4,328262.9079141234,1.6,920.0,4689442.963584042,19,T
1675728559.9735029,$GPGGA,42.33829166666666,-71.08472333333334,11.4,328262.0659382127,1.6,921.0,4689442.243498978,19,T
1675728560.9770741,$GPGGA,42.338285,-71.08473166666666,11.4,328261.3612666076,1.6,922.0,4689441.520047759,19,T
1675728561.9760342,$GPGGA,42.33827333333333,-71.08473666666667,11.6,328260.91759184236,1.6,923.0,4689440.23465223,19,T
1675728562.9753852,$GPGGA,42.33826666666667,-71.08474666666666,11.6,328260.0756154113,1.6,924.0,4689439.514567393,19,T
