Time,header,latitude,longitude,altitude,utm_easting,HDOP,UTC,utm_northing,zone,letter
1675729483.5746634,$GPGGA,42.33895833333333,-71.08474,29.2,328262.50784205925,2.0,2445.0,4689516.305411442,19,T
1675729484.5727575,$GPGGA,42.33895833333333,-71.08474,29.2,328262.50784205925,2.0,2446.0,4689516.305411442,19,T
1675729485.5731444,$GPGGA,42.33895833333333,-71.08474,29.1,328262.50784205925,2.0,2447.0,4689516.305411442,19,T
1675729486.5723872,$GPGGA,42.33895833333333,-71.08474,29.1,328262.50784205925,2.0,2448.0,4689516.305411442,19,T
1675729487.5735557,$GPGGA,42.33895833333333,-71.08474,29.0,328262.50784205925,2.0,2449.0,4689516.305411442,19,T
1675729488.5746539,$GPGGA,42.338956666666675,-71.08474,28.9,328262.50330465904,2.0,2450.0,4689516.120340808,19,T
1675729489.5730095,$GPGGA,42.338956666666675,-71.08474,28.9,328262.50330465904,2.0,2451.0,4689516.120340808,19,T
1675729490.5721755,$GPGGA,42.338956666666675,-71.08474,28.8,328262.50330465904,2.0,2452.0,4689516.120340808,19,T
1675729491.5891285,$GPGGA,42.338956666666675,-71.08474166666666,28.8,328262.3660016443,2.0,2453.0,4689516.123707085,19,T
1675729492.5733473,$GPGGA,42.338956666666675,-71.08474166666666,28.7,328262.3660016443,2.0,2454.0,4689516.123707085,19,T
1675729493.5906672,$GPGGA,42.338956666666675,-71.08474166666666,28.6,328262.3660016443,2.0,2455.0,4689516.123707085,19,T
1675729494.5896668,$GPGGA,42.338956666666675,-71.08474166666666,28.6,328262.3660016443,2.0,2456.0,4689516.123707085,19,T
1675729495.5731728,$GPGGA,42.338955000000006,-71.08474166666666,28.5,328262.3614642405,2.0,2457.0,4689515.938636451,19,T
1675729496.5905867,$GPGGA,42.338955000000006,-71.08474166666666,28.4,328262.3614642405,2.0,2458.0,4689515.938636451,19,T
1675729497.590167,$GPGGA,42.338955000000006,-71.08474166666666,28.3,328262.3614642405,2.0,2459.0,4689515.938636451,19,T
1675729498.5738616,$GPGGA,42.338955000000006,-71.08474166666666,28.2,328262.3614642405,2.0,2500.0,4689515.938636451,19,T
1675729499.5745578,$GPGGA,42.338955000000006,-71.08474333333334,28.2,328262.2241612221,2.0,2501.0,4689515.94200273,19,T
1675729500.590796,$GPGGA,42.33895333333333,-71.08474333333334,28.1,328262.21962381474,2.0,2502.0,4689515.756932095,19,T
1675729501.574459,$GPGGA,42.33895333333333,-71.08474333333334,28.0,328262.21962381474,2.0,2503.0,4689515.756932095,19,T
1675729502.591126,$GPGGA,42.33895333333333,-71.08474333333334,27.9,328262.21962381474,2.0,2504.0,4689515.756932095,19,T
1675729503.5737364,$GPGGA,42.33895333333333,-71.08474333333334,27.8,328262.21962381474,2.0,2505.0,4689515.756932095,19,T
1675729504.571371,$GPGGA,42.33895333333333,-71.08474333333334,27.8,328262.21962381474,2.1,2506.0,4689515.756932095,19,T
1675729505.5730393,$GPGGA,42.33895333333333,-71.08474333333334,27.7,328262.21962381474,2.1,2507.0,4689515.756932095,19,T
