Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1675728477.967092,25,1675728477,965486049,,2,/talker,"header: ""$GPGGA""
latitude: 42.3388983333
longitude: -71.0838816667
altitude: 15.0
utm_easting: 328333.0556113339
HDOP: 1.6
UTC: 759.0
utm_northing: 4689507.909594388
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728478.9656327,26,1675728478,964629888,,2,/talker,"header: ""$GPGGA""
latitude: 42.3388883333
longitude: -71.0838816667
altitude: 14.8
utm_easting: 328333.0283981862
HDOP: 1.6
UTC: 800.0
utm_northing: 4689506.799170652
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728479.9667113,27,1675728479,966029882,,2,/talker,"header: ""$GPGGA""
latitude: 42.33888
longitude: -71.083885
altitude: 14.5
utm_easting: 328332.73111422174
HDOP: 1.6
UTC: 801.0
utm_northing: 4689505.880547319
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728480.9659753,28,1675728480,964381933,,2,/talker,"header: ""$GPGGA""
latitude: 42.3388766667
longitude: -71.083895
altitude: 14.0
utm_easting: 328331.8982240744
HDOP: 1.6
UTC: 802.0
utm_northing: 4689505.530595478
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728481.9656801,29,1675728481,964555978,,2,/talker,"header: ""$GPGGA""
latitude: 42.33887
longitude: -71.0839066667
altitude: 13.7
utm_easting: 328330.9189594982
HDOP: 1.6
UTC: 803.0
utm_northing: 4689504.813867414
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728482.9670136,30,1675728482,965383052,,2,/talker,"header: ""$GPGGA""
latitude: 42.3388633333
longitude: -71.08392
altitude: 13.3
utm_easting: 328329.80239151116
HDOP: 1.6
UTC: 804.0
utm_northing: 4689504.10050443
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728483.9652288,31,1675728483,964112997,,2,/talker,"header: ""$GPGGA""
latitude: 42.3388566667
longitude: -71.0839316667
altitude: 12.9
utm_easting: 328328.823126517
HDOP: 1.6
UTC: 805.0
utm_northing: 4689503.383776648
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728484.9652917,32,1675728484,964190959,,2,/talker,"header: ""$GPGGA""
latitude: 42.33885
longitude: -71.0839433333
altitude: 12.6
utm_easting: 328327.8438613212
HDOP: 1.6
UTC: 806.0
utm_northing: 4689502.667049
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728485.9669108,33,1675728485,966382980,,2,/talker,"header: ""$GPGGA""
latitude: 42.3388433333
longitude: -71.0839533333
altitude: 12.5
utm_easting: 328327.00189917895
HDOP: 1.6
UTC: 807.0
utm_northing: 4689501.94695648
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728486.9647,34,1675728486,964148044,,2,/talker,"header: ""$GPGGA""
latitude: 42.338835
longitude: -71.0839633333
altitude: 12.4
utm_easting: 328326.15540116676
HDOP: 1.6
UTC: 808.0
utm_northing: 4689501.041793431
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
