Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1678937273.0234277,2749,1678937272,977296829,imu1_frame,38453,1678937272,1678937272,imu1_frame,0.3423644753350084,-0.17953882963899392,-0.6971419427636252,0.6037760233068247,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000313,-0.001186,0.00021,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.502,-0.245,-9.721,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38453,1678937272,1678937272,imu1_frame,0.2439,0.0177,0.5011,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.466,+002.878,+001.533,+00.2439,+00.0177,+00.5011,+00.502,-00.245,-09.721,+00.000313,-00.001186,+00.000214*63
"
1678937273.023488,2750,1678937273,2183675,imu1_frame,38454,1678937273,1678937273,imu1_frame,0.34165776433916856,-0.17969802122245795,-0.6974504430851675,0.6037726995118259,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001073,0.00119,-0.00135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.506,-0.266,-9.744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38454,1678937273,1678937273,imu1_frame,0.2458,0.0225,0.5033,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.465,+002.879,+001.532,+00.2458,+00.0225,+00.5033,+00.506,-00.266,-09.744,+00.001073,+00.001190,-00.001350*66
"
1678937273.067352,2751,1678937273,27475118,imu1_frame,38455,1678937273,1678937273,imu1_frame,0.3413558352947712,-0.17934927355319297,-0.6975402049107315,0.6039434529152921,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000972,0.000222,-0.00159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.499,-0.271,-9.712,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38455,1678937273,1678937273,imu1_frame,0.2458,0.0167,0.5034,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.464,+002.879,+001.532,+00.2458,+00.0167,+00.5034,+00.499,-00.271,-09.712,+00.000972,+00.000222,-00.001595*6A
"
1678937273.0673854,2752,1678937273,52745819,imu1_frame,38456,1678937273,1678937273,imu1_frame,0.3402491665876436,-0.17709773814676888,-0.6977660573943674,0.6049705983996518,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.7e-05,-0.000927,-0.00108,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.505,-0.257,-9.709,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38456,1678937273,1678937273,imu1_frame,0.2467,0.0148,0.5067,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.459,+002.878,+001.533,+00.2467,+00.0148,+00.5067,+00.505,-00.257,-09.709,-00.000027,-00.000927,-00.001085*6A
"
1678937273.1114142,2753,1678937273,77337026,imu1_frame,38457,1678937273,1678937273,imu1_frame,0.34033767292188244,-0.17692759143334671,-0.6974634848870157,0.6053194057924891,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000592,-0.000354,0.00043,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.483,-0.263,-9.725,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38457,1678937273,1678937273,imu1_frame,0.2458,0.0167,0.5012,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.459,+002.878,+001.534,+00.2458,+00.0167,+00.5012,+00.483,-00.263,-09.725,+00.000592,-00.000354,+00.000431*67
"
1678937273.1126838,2754,1678937273,102237701,imu1_frame,38458,1678937273,1678937273,imu1_frame,0.33912635424227044,-0.17553231153845844,-0.6978159449074743,0.6059988700461416,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00077,0.002271,0.00048,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.475,-0.26,-9.751,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38458,1678937273,1678937273,imu1_frame,0.2467,0.0148,0.5078,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.455,+002.878,+001.534,+00.2467,+00.0148,+00.5078,+00.475,-00.260,-09.751,+00.000770,+00.002271,+00.000486*6F
"
1678937273.1553824,2755,1678937273,127244472,imu1_frame,38459,1678937273,1678937273,imu1_frame,0.33861985263890987,-0.1739784337044643,-0.6978560788865147,0.6066836021895455,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000666,-0.002161,-0.00058,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.498,-0.26,-9.739,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38459,1678937273,1678937273,imu1_frame,0.2458,0.0138,0.5045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.452,+002.877,+001.535,+00.2458,+00.0138,+00.5045,+00.498,-00.260,-09.739,+00.000666,-00.002161,-00.000588*65
"
1678937273.199442,2756,1678937273,152615070,imu1_frame,38460,1678937273,1678937273,imu1_frame,0.33883594606813167,-0.1744967797601363,-0.6980721723157373,0.6061652561338732,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000767,0.002764,-0.00108,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.482,-0.272,-9.748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38460,1678937273,1678937273,imu1_frame,0.2458,0.0158,0.5077,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.453,+002.877,+001.534,+00.2458,+00.0158,+00.5077,+00.482,-00.272,-09.748,-00.000767,+00.002764,-00.001082*61
"
1678937273.1994927,2757,1678937273,177352428,imu1_frame,38461,1678937273,1678937273,imu1_frame,0.33824225131151214,-0.17311168285337708,-0.6984134949735606,0.6065007128818627,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000216,-0.001447,0.00057,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.47,-0.262,-9.748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38461,1678937273,1678937273,imu1_frame,0.2429,0.0149,0.5055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.450,+002.876,+001.534,+00.2429,+00.0149,+00.5055,+00.470,-00.262,-09.748,+00.000216,-00.001447,+00.000570*64
"
1678937273.243341,2758,1678937273,202096462,imu1_frame,38462,1678937273,1678937273,imu1_frame,0.3380252976686994,-0.1725934634138718,-0.6981965413307469,0.6070189323213684,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00039,0.000804,-0.00111,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.468,-0.264,-9.73,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38462,1678937273,1678937273,imu1_frame,0.2448,0.0139,0.5055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.449,+002.876,+001.535,+00.2448,+00.0139,+00.5055,+00.468,-00.264,-09.730,-00.000390,+00.000804,-00.001117*6A
"
1678937273.2433848,2759,1678937273,227200984,imu1_frame,38463,1678937273,1678937273,imu1_frame,0.338353366507878,-0.1715681526111435,-0.6984424490003213,0.6068438957564117,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000255,0.000135,-0.00196,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.449,-0.238,-9.748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38463,1678937273,1678937273,imu1_frame,0.2458,0.0148,0.5045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+016.448,+002.874,+001.535,+00.2458,+00.0148,+00.5045,+00.449,-00.238,-09.748,+00.000255,+00.000135,-00.001966*61
"
